date,indice_pct,n_paires,n_lignes,min_pct,max_pct,classe
2026-09-21,8.3,10,5,-41.0,100.0,Faible
2026-09-22,8.0,10,5,-39.8,100.0,Faible
2026-09-23,-2.3,6,4,-39.9,23.1,Négative (les lignes s'amortissent entre elles)
